"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"DIY","BUL","434807","TCP Vintage LED Bulb Filament Candle 4W SES","TCP","4W","1",NA,0.93
"DIY","BUL","434808","TCP Vintage LED Bulb Filament Candle 4W BC","TCP","4W","1",NA,0.93
"DIY","BUL","437135","TCP Rustic Bulb ST64 60W BC 1pk","TCP","60W","1",NA,0.93
"DIY","BUL","437136","TCP Rustic Bulb ST64 60W ES 1pk","TCP","60W","1",NA,0.93
"DIY","BUL","437137","TCP Rustic Bulb Classic 60W BC 1pk","TCP","60W","1",NA,0.93
"DIY","BUL","437138","TCP Rustic Bulb Classic 60W ES 1pk","TCP","60W","1",NA,0.93
"DIY","BUL","437141","TCP Rustic Candle Bulb 40W SES 1pk","TCP","40W","1",NA,0.93
"DIY","BUL","437142","TCP Rustic Candle  Bulb 40W BC 1pk","TCP","40W","1",NA,0.93
"DIY","BUL","437650","TCP Dawn to Dusk Bulb BC 8w 1pk","TCP","8W","1",NA,0.93
"DIY","BUL","437651","TCP Dawn to Dusk Bulb ES 8w 1pk","TCP","8W","1",NA,0.93
"DIY","BUL","437652","TCP Motion Sensor Bulb 10W BC 1pk","TCP","10W","1",NA,0.93
"DIY","BUL","437653","TCP Motion Sensor Bulb 10W ES 1pk","TCP","10W","1",NA,0.93
"DIY","BUL","437654","TCP Classic Remote Bulb BC 3.5W 1pk RGB","TCP","3.5W","1",NA,0.93
"DIY","BUL","437655","TCP Classic Remote Bulb ES 3.5W 1pk RGB","TCP","3.5W","1",NA,0.93
"DIY","BUL","437657","TCP  Bluetooth Speaker Bulb BC 1pk","TCP","10W","1",NA,0.93
"DIY","BUL","437688","TCP Bluetooth Speaker Bulb ES 40W 1pk","TCP","10W","1",NA,0.93
"DIY","BUL","456821","TCP LED Bulb Two Tone BC 7W","TCP","7W","1",NA,0.93
"DIY","BUL","456822","TCP LED Bulb Two Tone ES 7W","TCP","7W","1",NA,0.93
"DIY","BUL","456825","TCP Rustic Incandescent Tube 60W E27","TCP","60W","1","No",0.65
"DIY","BUL","456826","TCP Rustic Incandescent Tube 60W B22","TCP","60W","1","No",0.65
"DIY","BUL","456827","TCP Vintage LED Bulb Filament ST64 4W B22","TCP","4W","1",NA,0.93
"DIY","BUL","456828","TCP Vintage LED Bulb Filament ST64 4W E27","TCP","4W","1",NA,0.93
"DIY","BUL","456829","TCP Vintage LED Bulb Filament Classic 4W B22","TCP","4W","1",NA,0.93
"DIY","BUL","456830","TCP Vintage LED Bulb Filament Classic 4W E27","TCP","4W","1",NA,0.93
"DIY","BUL","456831","TCP Vintage LED Bulb Filament Diamond 4W B22","TCP","4W","1",NA,0.93
"DIY","BUL","456832","TCP Vintage LED Bulb Filament Diamond 4W E27","TCP","4W","1",NA,0.93
"DIY","BUL","456868","Wilko LED Bulb Filament Soft Tone 7W BC White","TCP","7W","1",NA,0.88
"DIY","BUL","456869","Wilko LED Bulb Filament Soft Tone 7W ES White","TCP","7W","1",NA,0.88
"DIY","BUL","456870","Wilko LED Bulb Filament Soft Tone 7W BC Peach","TCP","7W","1",NA,0.88
"DIY","BUL","456871","Wilko LED Bulb Filament Soft Tone 7W ES Peach","TCP","7W","1",NA,0.88
"DIY","BUL","456872","Wilko LED Bulb Filament Candle Soft Light 4W BCWhite","TCP","4W","1",NA,0.88
"DIY","BUL","456873","Wilko LED Bulb Filament Candle Soft Light 4W SESWhite","TCP","4W","1",NA,0.88
"DIY","BUL","456874","Wilko LED Bulb Filament Candle Soft Light 4W BCPeach","TCP","4W","1",NA,0.88
"DIY","BUL","456875","Wilko LED Bulb Filament Candle Soft Light 4W SESPeach","TCP","4W","1",NA,0.88
"DIY","BUL","456876","Wilko LED Bulb Filament Globe Soft Light 4W BCWhite","TCP","4W","1",NA,0.88
"DIY","BUL","456877","Wilko LED Bulb Filament Globe Soft Light 4W SESWhite","TCP","4W","1",NA,0.88
"DIY","BUL","456878","Wilko LED Bulb Filament Globe Soft Light 4W BCPeach","TCP","4W","1",NA,0.88
"DIY","BUL","456879","Wilko LED Bulb Filament Globe Soft Light 4W SESPeach","TCP","4W","1",NA,0.88
"TOI","MED","213999","TCP Liquid Antiseptic 200ml","TCP","200ml",NA,NA,0.9125
