"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"SBK","PAR","162266","True Love Wedding Confetti","Unique Party","Single Pack","Multi","1",NA,NA,NA,0.95
"SBK","PAR","334318","Donkey Pinata","Unique Party",NA,NA,"1",NA,NA,NA,0.775
"SBK","PAR","413666","Bats and Balls Party Favours 4pk","Unique Party",NA,"Multi","4pk",NA,NA,NA,0.88
"SBK","PAR","413667","Noses and Glasses Party Favours 4pk","Unique Party",NA,"Multi","4pk",NA,NA,NA,0.88
"SBK","PAR","413668","Winner Medals Party Favours 4pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413670","Yoyos Party Favours 4pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413671","Spinning Tops Party Favours 4pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413672","Swirl Ball Chaser Party Favour 4pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413673","Bouncy Balls Party Favour 4pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413674","Parachute Men 4pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413679","Water Bombs Small Bag 165pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413680","Punch Ball Favours 4pk","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413726","Balloon Weight Iridescent","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413727","Curling Ribbon Iridescent","Unique Party","50 Yards","Multi","1",NA,NA,NA,0.95
"SBK","PAR","413730","Glitter Happy Birthday Pick Candles","Unique Party","N/A","Multi","1",NA,NA,NA,0.95
"SBK","PAR","413741","Party Cannon 30cm","Unique Party",NA,"Multi","1",NA,NA,NA,0.88
"SBK","PAR","413744","Pinata Blindfold and Pinata Buster","Unique Party",NA,"Multi","1",NA,NA,"3 Years +",0.891666666666667
"SBK","PAR","413768","Pirate Ship Pinata","Unique Party",NA,"Multi","1",NA,NA,"3 Years +",0.891666666666667
"SBK","PAR","413793","Princess Castle Pinata","Unique Party",NA,NA,"1","Paper","No","3 Years +",0.6
"SBK","PAR","441388","Finding Dory 3D Pinata","Unique Party",NA,"Multi","1",NA,NA,"3+",0.891666666666667
"SBK","PAR","441389","Kylo Ren 3D Pinata","Unique Party",NA,"Black","1",NA,NA,"3+",0.891666666666667
"SBK","PAR","441390","Unique Mini Wands Party Favours 4pk","Unique Party","4.1cm x 17.5cm x 0.5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441391","Unique Snap Cards Party Favours 4pk","Unique Party","4.2cm x 6.2cm x 1cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441392","Unique Princess Notebook Pencil Party Favours 4pk","Unique Party","Notebook 10x5.5x1cm Pencil 8.5x0.7x0.7cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441393","Unique Pirate Notebook Pencil Party Favours 4pk","Unique Party","Notebook 10x5.5x1cm Pencil 8.5x0.7x0.7cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441394","Unique Wiggly Snakes Party Favours 4pk","Unique Party","32cm x 2cm x 2cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441396","Unique Heart Bracelet Party Favours 4pk","Unique Party","6cm x 6cm x 0.5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441397","Unique Springy Alien Party Favours 4pk","Unique Party","4 x 5 x 2.5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441399","Unique Moustache Party Favours 4pk","Unique Party","9cm x 2cm x 0.5cm","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441401","Unique Flying Jets Party Favours 4pk","Unique Party","15 x 14.5 x 3.5cm assembled","Multi","4",NA,NA,NA,0.95
"SBK","PAR","441568","Unique Princess Party Favours Bag 24pk","Unique Party","Assortment of sizes","Multi","24",NA,NA,NA,0.95
"SBK","PAR","441569","Pirate Favour Bag 24pcs","Unique Party","Assortment of sizes","Multi","24",NA,NA,NA,0.95
"SBK","PAR","441570","Unique Activity Party Favours Bag 24pk","Unique Party","Assortment of sizes","Multi","24",NA,NA,NA,0.95
"SBK","PAR","441571","Unique Stationery Party Favours Bag 24pk","Unique Party","Assortment of sizes","Multi","24",NA,NA,NA,0.95
"SBK","PAR","441572","Unique Princess Gel Glitter Bracelet Party Favours4pk","Unique Party","7cm x 7xm x 1cm","Multi","4",NA,NA,NA,0.95
