"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"435373","Screw Tite Screw Net Coat Yellow 3.5 x 16mm20pk","TITE","Screws and Caps","20","3.5 x 16mm",1
"435374","Screw Tite Screw Net Coat Yellow 3.5 x 20mm20pk","TITE","Screws and Caps","20","3.5 x 20mm",1
"435375","Screw Tite Screw Net Coat Yellow 3.5 x 25mm20pk","TITE","Screws and Caps","20","3.5 x 25mm",1
"435376","Screw Tite Screw Net Coat Yellow 3.5 x 30mm20pk","TITE","Screws and Caps","20","3.5 x 30mm",1
"435377","Screw Tite Screw Net Coat Yellow 3.5 x 40mm20pk","TITE","Screws and Caps","20","3.5 x 40mm",1
"435378","Screw Tite Screw Net Coat Yellow 4.0 x 20mm20pk","TITE","Screws and Caps","20","4 x 20mm",1
"435379","Screw Tite Screw Net Coat Yellow 4.0  x 25mm20pk","TITE","Screws and Caps","20","4 x 25mm",1
"435380","Screw Tite Screw Net Coat Yellow 4.0  x 30mm15pk","TITE","Screws and Caps","15","4 x 30mm",1
"435381","Screw Tite Screw Net Coat Yellow 4.0  x 35mm15pk","TITE","Screws and Caps","15","4 x 35mm",1
"435382","Screw Tite Screw Net Coat Yellow 4.5 x 40mm10pk","TITE","Screws and Caps","10","4 x 40mm",1
"435383","Screw Tite Screw Net Coat Yellow 4.5 x 30mm15pk","TITE","Screws and Caps","15","4.5 x 30mm",1
"435384","Screw Tite Screw Net Coat Yellow 4.5 x 40mm15pk","TITE","Screws and Caps","15","4.5 x 40mm",1
"435385","Screw Tite Screw Net Coat Yellow 5 x 60mm10pk","TITE","Screws and Caps","10","5 x 60mm",1
"435386","Screw Tite Screw Net Coat Yellow 4.5 x 50mm12pk","TITE","Screws and Caps","12","4.5 x 50mm",1
"435388","MDF Tite Screw Net Coat Yellow 3.9 x 25mm20pk","TITE","Screws and Caps","20","3.9 x 25mm",1
"435389","MDF Tite Screw Net Coat Yellow 3.9 x 30mm20pk","TITE","Screws and Caps","20","3.9 x 30mm",1
"435390","MDF Tite Screw Net Coat Yellow 3.9 x 40mm20pk","TITE","Screws and Caps","20","3.9 x 40mm",1
"435391","MDF Tite Screw Net Coat Yellow 3.9 x 45mm20pk","TITE","Screws and Caps","20","3.9 x 45mm",1
"435392","Exterior Tite 4.0 x 25mm Black12pk","TITE","Screws and Caps","12","4 x 25mm",1
"435393","Exterior Tite 4.0 x 30mm Black12pk","TITE","Screws and Caps","12","4 x 30mm",1
"435394","Exterior Tite 4.0 x 40mm Black12pk","TITE","Screws and Caps","12","4 x 40mm",1
"435395","Exterior Tite 4.0 x 50mm Black12pk","TITE","Screws and Caps","12","4 x 50mm",1
"435396","Exterior Tite 4.0 x 40mm Silver Effect12pk","TITE","Screws and Caps","12","4 x 40mm",1
"435397","Exterior Tite 4.5 x 50mm Silver Effect12pk","TITE","Screws and Caps","12pk","4.5 x 50mm",1
"435398","Hinge Tite 4.0 x 25mm Brass Effect12pk","TITE","Screws and Caps","12","4 x 25mm",1
"435399","Hinge Tite 4.0 x 30mm Brass Effect12pk","TITE","Screws and Caps","12","4 x 30mm",1
"435400","Hinge Tite 4.0 x 25mm Chrome12pk","TITE","Screws and Caps","12","4 x 25mm",1
"435401","Hinge Tite 4.0 x 30mm Chrome12pk","TITE","Screws and Caps","12","4 x 30mm",1
"435405","Floor Tite 4. 2 x 55mm100pk","TITE","Screws and Caps","100","4.2 x 55mm",1
"435406","Deck Tite 4. 5 x 63mm100pk","TITE","Screws and Caps","100","4.5 x 63mm",1
"437754","Wilko Machine Screw Set M4 x 25mm5pk","Wilko","Screws and Caps","5","M4 x 25 mm",1
"437755","Wilko Machine Screw Set M4 x 50mm5pk","Wilko","Screws and Caps","5","M4 x 50mm",1
"437756","Wilko Machine Screw Set M5 x 25mm5pk","Wilko","Screws and Caps","5","M5 x 25mm",1
"437757","Wilko Machine Screw Set M6 x 25mm5pk","Wilko","Screws and Caps","5","M6 x 25mm",1
"437758","Wilko Machine Screw Set M6 x 50mm5pk","Wilko","Screws and Caps","5","M6 x 50mm",1
