"Article","Web Description","Brand","Type","Coverage","Colour","Washable","Size","Material","DQ Score"
"446034","Faux Wood Venetian Blind Oak60cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,"Wipe Clean Only","Width 60cm x Drop 160cm","PVC and Aluminium",0.85
"446035","Faux Wood Venetian Blind Oak90cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 90cm x Drop 160cm","PVC and Aluminium",0.8
"446044","Faux Wood Venetian Blind White60cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"60x160cm - 50mm PVC Slat 3mm thick","PVC and Aluminium",0.8
"446045","Faux Wood Venetian Blind White90cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 90cm x Drop 160cm","PVC and Aluminium",0.8
"446046","Faux Wood Venetian Blind White120cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 120cm x Drop 160cm","PVC and Aluminium",0.8
"446047","Faux Wood Venetian Blind White150cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 150cm x Drop 160cm","PVC and Aluminium",0.8
"446048","Faux Wood Venetian Blind White180cm wide x 160cm drop","Global","Faux Wood Venetian Blinds",NA,NA,NA,"Width 180cm x Drop 160cm","PVC and Aluminium",0.8
"446123","Square Eyelet Roller Blind Aubergine60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446124","Square Eyelet Roller Blind Aubergine90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446125","Square Eyelet Roller Blind Aubergine120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446126","Square Eyelet Roller Blind Aubergine150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446127","Square Eyelet Roller Blind Aubergine180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446128","Square Eyelet Roller Blind Aubergine210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446129","Square Eyelet Roller Blind Black60 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 60cm x Drop 165cm","100% Polyester",0.8
"446131","Square Eyelet Roller Blind Black120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446132","Square Eyelet Roller Blind Black150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446133","Square Eyelet Roller Blind Black180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm","100% Polyester",0.8
"446134","Square Eyelet Blind Black 210 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 210cm x Drop 165cm","100% Polyester",0.8
"446136","Square Eyelet Blind Blue 90 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 90cm x Drop 165cm","100% Polyester",0.8
"446137","Square Eyelet Blind Blue 120 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 120cm x Drop 165cm","100% Polyester",0.8
"446138","Square Eyelet Blind Blue 150 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 150cm x Drop 165cm","100% Polyester",0.8
"446139","Square Eyelet Blind Blue 180 wide x 165cm drop","Global","Roller Blinds",NA,NA,NA,"Width 180cm x Drop 165cm",NA,0.75
