"Article","Web Description","Brand","DQ Score"
"341852","Wilko Flat Matt Emulsion Paint Tester Pot Lace125ml","Wilko Best",0.833333333333333
"341853","Wilko Flat Matt Emulsion Paint Tester Pot Clover125ml","Wilko Best",0.833333333333333
"341857","Wilko Flat Matt Emulsion Paint Tester PotMuted Heather 125ml","Wilko Best",0.833333333333333
"341859","Wilko Flat Matt Emulsion Paint Tester Pot SilverBirch 125ml","Wilko Best",0.833333333333333
"341860","Wilko Flat Matt Emulsion Paint Tester PotCharcoal 125ml","Wilko Best",0.833333333333333
"341861","Wilko Flat Matt Emulsion Paint Tester PotElegant Rose 125ml","Wilko Best",0.833333333333333
"341863","Wilko Flat Matt Emulsion Paint Tester PotEnglish Folly 125ml","Wilko Best",0.833333333333333
"341949","Wilko Flat Matt Emulsion Paint Tester PotPearl White 125ml","Wilko Best",0.833333333333333
"341950","Wilko Flat Matt Emulsion Paint Tester PotFountain 125ml","Wilko Best",0.891666666666667
"341952","Wilko Flat Matt Emulsion PaintLace 2.5L","Wilko Best",0.95
"341953","Wilko Flat Matt Emulsion PaintClover 2.5L","Wilko Best",0.891666666666667
"341968","Wilko Flat Matt Emulsion PaintElegant Rose 2.5L","Wilko Best",0.891666666666667
"341970","Wilko Flat Matt Emulsion PaintMuted Heather 2.5L","Wilko Best",0.891666666666667
"341972","Wilko Flat Matt Emulsion PaintSilver Birch 2.5L","Wilko Best",0.891666666666667
"341973","Wilko Flat Matt Emulsion PaintCharcoal 2.5L","Wilko Best",0.891666666666667
"341980","Wilko Flat Matt Emulsion PaintEnglish Folly 2.5L","Wilko Best",0.891666666666667
"341984","Wilko Flat Matt Emulsion PaintPearl White 2.5L","Wilko Best",0.891666666666667
"341985","Wilko Flat Matt Emulsion PaintFountain 2.5L","Wilko Best",0.891666666666667
"412488","Wilko Flat Matt Emulsion PaintBlotting Paper 2.5L","Wilko Best",0.95
"412489","Wilko Flat Matt Emulsion PaintAylesbury Duck Egg 2.5L","Wilko Best",0.95
"412490","Wilko Flat Matt Emulsion PaintVintage Duck Egg 2.5L","Wilko Best",0.95
"428695","Wilko Flat Matt Emulsion PaintCanterbury Duck Egg 2.5L","Wilko Best",0.95
"428697","Wilko Flat Matt Emulsion PaintAbode 2.5L","Wilko Best",0.95
"428698","Wilko Flat Matt Emulsion PaintStoney Grey 2.5L","Wilko Best",0.95
"428699","Wilko Flat Matt Emulsion PaintPaper Linen 2.5L","Wilko Best",0.95
"428700","Wilko Flat Matt Emulsion Paint Tester PotCanterbury Duck Egg 125ml","Wilko Best",0.95
"428702","Wilko Flat Matt Emulsion Paint Tester Pot Abode125ml","Wilko Best",0.95
"428703","Wilko Flat Matt Emulsion Paint Tester Pot StoneyGrey 125ml","Wilko Best",0.95
"428704","Wilko Flat Matt Emulsion Paint Tester Pot PaperLinen 125ml","Wilko Best",0.95
