"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Capacity","DQ Score"
"KIT","BAP","256669","Kilner Clip Top Glass Storage 1L","Kilner","1L",NA,"1",NA,NA,1
"KIT","BAP","256670","Kilner Clip Top Glass Storage 1.5L","Kilner","1.5L",NA,"1",NA,NA,1
"KIT","BAP","263845","Kilner Clip Top Jar 0.5L","Kilner","500ml",NA,NA,NA,NA,0.9125
"KIT","BAP","289848","Kilner Preserve Jar 0.5L","Kilner","500ml",NA,"1",NA,NA,1
"KIT","BAP","289849","Kilner Preserves Jar 1L","Kilner","1L",NA,"1",NA,NA,1
"KIT","BAP","319115","Kilner Stainless Steel Funnel","Kilner",NA,NA,"1",NA,NA,0.9125
"KIT","BAP","319120","Kilner Muslin Square 50 x 50cm Square 1pk","Kilner","50x50cm",NA,"1",NA,NA,1
"KIT","BAP","319121","Kilner Bottle Airtight Clip Top Lid 1 Litre","Kilner","1L",NA,"1",NA,NA,1
"KIT","BAP","319122","Kilner Bottle Lid 0.55L","Kilner","550ml",NA,"1",NA,NA,1
"KIT","BAP","319123","Kilner Bottle Lid 0.25L","Kilner","250ml",NA,"1",NA,NA,1
"KIT","BAP","319126","Storage Jar Clip-Top Glass 70ml","Kilner","70ml",NA,"1",NA,NA,0.95
"KIT","BAP","319127","Kilner The Original Preserve Jar 0.25L","Kilner","250ml",NA,"1",NA,NA,1
"KIT","BAP","319804","Kilner Thermometer","Kilner",NA,NA,"1",NA,NA,0.9125
"KIT","BAP","328633","Kilner Jam Jar Sealing Kit 108 Piece","Kilner","108 Piece",NA,"1",NA,NA,1
"KIT","BAP","328634","Kilner Replacement Rubber Seal Standard 6pk","Kilner","6 Pack",NA,"1",NA,NA,1
"KIT","BAP","328695","Kilner Clip Top Jar 2L","Kilner","2L",NA,"1",NA,NA,1
"KIT","BAP","328696","Kilner Twist Top Bottle 250ml","Kilner","250ml",NA,"1",NA,NA,1
"KIT","BAP","328698","Kilner Twist Top Preserving Jar","Kilner","720ml",NA,"1",NA,NA,1
"KIT","BAP","328700","Kilner Twist Top Jar 228ml","Kilner","228ml",NA,"1",NA,NA,1
"KIT","BAP","328701","Kilner Twist Top Jar 93ml","Kilner","93ml",NA,"1",NA,NA,1
"KIT","BAP","328711","Kilner Coloured Clip Top Jar 0.5L","Kilner","5L",NA,"1",NA,NA,1
"KIT","BAP","328712","Kilner Coloured Clip Top Jar 1L","Kilner","1L",NA,"1",NA,NA,1
"KIT","BAP","435783","Kilner Shaker","Kilner","8cm x 8cm x 8.2cm",NA,"1","Soda Lime Stainless Steel","0.25lt",0.9
"KIT","CUT","447439","Viners Cutlery Set 16pcs and 2 Serving Spoons","Viners","18 piece","Silver","18 piece",NA,NA,0.95
"KIT","GLA","447440","Viners Cutlery Set 16 Piece + 4 Steak Knives","Viners","20 piece","Silver","20 pieces",NA,NA,1
