"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"TOI","COS","349929","Essence Eyeliner Pen Deep Black Waterproof 01","Essence",NA,"Black","1",NA,0.93
"TOI","COS","349961","Essence Mattifying Compact Powder Pastel Beige 11","Essence",NA,NA,"1",NA,0.86
"TOI","COS","349963","Essence All About Matt Oil Control Paper","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400680","Essence Eyebrow Designer Pencil Black 01","Essence",NA,"Black","1",NA,0.93
"TOI","COS","400681","Essence Eyebrow Designer Pencil Brown 02","Essence",NA,"Brown","1",NA,0.93
"TOI","COS","400682","Essence Eyebrow Designer Pencil Blonde 04","Essence",NA,"Brown","1",NA,0.93
"TOI","COS","400683","Essence Eyebrow Designer Pencil Soft Blonde 05","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400702","Essence Eyebrow Styling Set Natural Brunette 02","Essence",NA,"Brown","1",NA,0.93
"TOI","COS","400703","Essence Eyebrow Stylist Set Natural Blonde 02","Essence",NA,"Yellow","1",NA,0.93
"TOI","COS","400704","Essence Eyebrow Tweezer","Essence",NA,"Multi","1",NA,0.93
"TOI","COS","400711","Essence Lash and Brow Gel Mascara","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400712","Essence Make Up Bag","Essence",NA,"Multi","1",NA,0.93
"TOI","COS","400713","Essence Precise Eyeliner Brush","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400753","Essence Sun Club Matt Bronzing Powder Sun Kissed10","Essence",NA,"Brown","1",NA,0.93
"TOI","COS","400754","Essence Sun Club Large Bronzing Powder 02","Essence",NA,"Brown","1",NA,0.93
"TOI","COS","400767","Essence Stay All Day 16H Long LastingConcealer Natural Beige 10","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400768","Essence Stay All Day 16H Long Lasting ConcealerSoft Beige 20","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400771","essence make-up and powder sponges","Essence",NA,"Multi","1",NA,0.93
"TOI","COS","400825","Essence Nail Art Kit Designer Set","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400839","Essence Nail Art Stampy Designs 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400842","Essence Nail Art Stampy Set 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400852","Essence 2in1 Profi Nail File","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400853","Essence Bufferfile 6 in 1","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400864","Essence Profi Nail File 4in1","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400866","Essence Studiom Nails 2 Way Profi File","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400870","Essence Studio Nails Banana File","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400885","Essence Studio Nails Rosewood Sticks","Essence",NA,NA,"1",NA,0.86
"TOI","COS","400886","Essence Studio Nails Sweet Mini File","Essence",NA,NA,"1",NA,0.86
"TOI","COS","410011","Essence Lash Princess Volume Mascara","Essence",NA,"Black","1",NA,0.93
"TOI","COS","410056","Essence French Manicure Crerative Tip GuidesFrom Heaven With Love 02","Essence",NA,NA,"1",NA,0.86
"TOI","COS","410057","Essence Gel Look Nail Plumping Top Coat","Essence",NA,"Clear","1",NA,0.93
"TOI","COS","415963","Essence Eye Blender Brush","Essence",NA,NA,"1",NA,0.86
"TOI","COS","415966","Essence Make Me Brow Eyebrow Gel MascaraBlondy Brown","Essence",NA,"Brown","1",NA,0.93
"TOI","COS","415967","Essence Make Me Brow Eyebrow Gel MascaraBrowny Brows 02","Essence",NA,"Brown","1",NA,0.93
"TOI","COS","415994","Essence Studio Nails Cuticle Remover Pen","Essence",NA,NA,"1",NA,0.86
"TOI","COS","415995","Essence Studio Nails Nail Care Pen","Essence",NA,NA,"1",NA,0.86
"TOI","COS","415996","Essence Studio Nail Polish Corrector Pen","Essence",NA,NA,"1",NA,0.86
"TOI","COS","416000","Essence Falsa Lash Effect Mascara Princess 12ml","Essence",NA,"Black","1",NA,0.93
"TOI","COS","416004","Essence Long Lasting Eye Pencil Purple Grey 20","Essence",NA,"Grey","1",NA,0.93
"TOI","COS","416061","essence the gel nail polish 01","Essence",NA,"White","1",NA,0.93
"TOI","COS","416064","essence the gel nail polish 04","Essence",NA,"Pink","1",NA,0.93
"TOI","COS","416066","essence the gel nail polish 07","Essence",NA,"Pink","1",NA,0.93
"TOI","COS","416068","essence the gel nail polish 09","Essence",NA,"Pink","1",NA,0.93
"TOI","COS","416073","essence the gel nail polish 14","Essence",NA,"Red","1",NA,0.93
"TOI","COS","416075","essence the gel nail polish 16","Essence",NA,"Red","1",NA,0.93
"TOI","COS","416080","essence the gel nail polish 21","Essence",NA,"Blue","1",NA,0.93
"TOI","COS","416088","essence the gel nail polish 31","Essence",NA,"Blue","1",NA,0.93
"TOI","COS","416089","essence the gel nail polish 35","Essence",NA,"Pink","1",NA,0.93
"TOI","COS","416091","essence the gel nail polish base coat","Essence",NA,NA,"1",NA,0.86
"TOI","COS","416092","essence the gel nail polish top coat","Essence",NA,NA,"1",NA,0.86
"TOI","COS","416134","essence the gel nail polish 05","Essence",NA,"Pink","1",NA,0.93
"TOI","COS","416135","essence the gel nail polish 24","Essence",NA,"Pink","1",NA,0.93
"TOI","COS","416139","essence the gel nail polish 33","Essence",NA,"White","1",NA,0.93
"TOI","COS","416141","essence the gel nail polish 36","Essence",NA,"Pink","1",NA,0.93
"TOI","COS","416143","essence the gel nail polish 38","Essence",NA,"Yellow","1",NA,0.93
"TOI","COS","416145","essence the gel nail polish 40","Essence",NA,"Green","1",NA,0.93
"TOI","COS","416148","essence the gel nail polish 44","Essence",NA,"Gold","1",NA,0.93
"TOI","COS","416150","essence the gel nail polish 46","Essence",NA,"Black","1",NA,0.93
"TOI","COS","426436","Essence I Love Extreme Volume Mascara Waterproof","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426445","Essence All About Nudes Eyeshadow 02","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426451","Essence Sheer And Shine Lipstick BFF 03","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426454","Essence Sheer And Shine Lipstick 07","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426460","Essence Sheer And Shine Lipstick 13","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426469","Essence Matt Touch Blush Peach Me Up 10","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426470","Essence Matt Touch Blush Berry Me Up 20","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426480","Essence The Gel Nail Polish Va Va Voom 47","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426481","Essence Gel Nail Polish My Love Diary 48","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426484","Essence Gel Nail Polish Amazed By You 52","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426532","Essence All About Roses Eyeshadow 03","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426536","Essence Lashes To Impress Single Lashes 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426538","Essence Lashes To Impress Half Lashes 03","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426550","Essence Longlasting Lipliner Ready For Red 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426551","Essence Longlasting Lipliner Sweetheart 02","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426552","Essence Longlasting Lipliner Yummy Berry 03","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426554","Essence Long Lasting Lipliner Lovely Frappucino 05","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426555","Essence Longlasting Lipliner A Girl's Dream 06","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426556","Essence Long Lasting Lipliner Plum Cake 07","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426557","Essence Long Lasting Lipliner Girl Next Door 08","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426568","Essence Camouflage Cream Concealer Natural Beige10","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426594","Essence French Beautifying Manicure Nail PolishGirls Best French 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426595","Essence French Beautifying Manicure Nail PolishFrenchs Are Forever 02","Essence",NA,NA,"1",NA,0.86
"TOI","COS","426608","Essence Studio Nails Professional Cuticle Pusher","Essence",NA,NA,"1",NA,0.86
"TOI","COS","434061","Essence Rock N Doll MascaraUltra Black","Essence","12ml","Black","1",NA,1
"TOI","COS","434078","Essence I Love Colour Intensifying Eyeshadow Base","Essence","4ml",NA,"1",NA,0.93
"TOI","COS","434093","Essence Superfine Eyeliner Pen Black Waterproof","Essence","1ml","Black","1",NA,1
"TOI","COS","434131","Essence The Gel Nail Polish Be Awesome Tonight 55","Essence","8ml","Pink","1",NA,1
"TOI","COS","434133","Essence The Gel Nail Polish Need Your Love 58","Essence","8ml","Black","1",NA,1
"TOI","COS","434147","Essence Eyebrow Gel Colour and Shape Brown 01","Essence","3ml","Brown","1",NA,1
"TOI","COS","434159","Essence Longlasting Lipliner Berry On My Mind 10","Essence","0.230g","Purple","1",NA,1
"TOI","COS","434167","Essence Mosaic Blush All You Need Is Pink 20","Essence",NA,NA,NA,NA,1
"TOI","COS","434169","Essence Mosaic Blush The Berry Connection 40","Essence",NA,NA,NA,NA,1
"TOI","COS","434170","Essence All I Need Concealer Palette Cover It All10","Essence",NA,NA,NA,NA,1
"TOI","COS","434180","Essence The Gel Nail Polish You and Me 56","Essence","8ml","Purple","1",NA,1
"TOI","COS","434183","Essence The Gel Nail Polish Love Me Like You Do 67","Essence","8ml","Purple","1",NA,1
"TOI","COS","434184","Essence The Gel Nail Polish Free Hugs 68","Essence","8ml","Purple","1",NA,1
"TOI","COS","434188","Essence 2 In 1 Base and Top Coat","Essence","8ml","Clear","1",NA,1
"TOI","COS","445709","Essence The False Lashes Mascara DramaticVolume Unlimited","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445710","Essence The False Lashes Extreme Volume and CurlMascara Black","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445717","Essence Camouflage 2in1 Make Up and ConcealerIvory Beige 10","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445718","Essence Camouflage 2in1 Make Up and ConcealerNude Beige 20","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445719","Essence Camouflage 2in1 Make Up and ConcealerHoney 30","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445722","Essence The Gel Nail Polish More Than A Feeling 73","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445723","Essence The Gel Nail Polish Pretty Cool Life 83","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445724","Essence The Gel Nail Polish Gossip Girl 87","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445824","Essence Rock'n'Doll Crazy XXXL Volumizing MascaraBlack","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445825","Essence Extreme Lasting Eye Pencil Black Love 01","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445826","Essence Extreme Lasting Eye Pencil But FirstEspresso 02","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445827","Essence Extreme Lasting Eye Pencil Black MidnightSky 03","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445830","Essence Extreme Lasting Eye Pencil Silky Nude 06","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445831","Essence Kajal Pencil N'Iced Coffee 28","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445850","Essence Matt Matt Matt Lipgloss La Vie Est Belle01","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445851","Essence Matt Matt Matt Lipgloss La Vie Est Belle02","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445852","Essence Matt Matt Matt Lipgloss Girl Of Today 03","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445854","Essence Matt Matt Matt Lipgloss Simply Be An Icon05","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445859","Essence Strobing Highlighter Let It Glow 10","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445861","Essence Matt Touch Blush Rose Me Up 30","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445863","Essence The Gel Nail Polish Perfect Match 75","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445953","Essence Eyebrow Brush","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445967","Essence Longlasting Lipliner Be A Game Changer 11","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445968","Essence Balmy Kiss Moisturising Lip Care Beauty OnThe Go 02","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445969","Essence Balmy Kiss Moisturising Lip Care Cant LiveWithout 03","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445970","Essence Balmy Kiss Moisturising Lip Care Treat MeRight 04","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445979","Essence The Gel Nail Polish Pllump Power 72","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445980","Essence The Gel Nail Polish Feels Like Birthday 74","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445982","Essence The Gel Nail Polish Blue So True 79","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445983","Essence The Gel Nail Polish Jeans On 80","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445984","Essence The Gel Nail Polish So What 81","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445985","Essence The Gel Nail Polish My Hula Hoop 82","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445987","Essence French Manicure Tip Painter Its PerfectlyFind 01","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445989","Essence Jewelry Top Coat Where Is My Crown 33","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445990","Essence Mega Last Base Coat","Essence",NA,NA,"1",NA,0.81
"TOI","COS","445991","Essence Bad Girl Nail Stickers 02","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445992","Essence Bling Bling Nail Stickers 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445993","Essence Cut Out Manicure Stencils","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445994","Essence Good Girl Nail Stickers 03","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445995","Essence Hey Be Happy Nail Stickers 05","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445996","Essence Jewelry Nail Stickers 09","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445997","Essence Metal Stripes Nail Stickers 04","Essence",NA,NA,"1",NA,0.86
"TOI","COS","445999","Essence Story Of My Nails Nail Stickers 06","Essence",NA,NA,"1",NA,0.86
"TOI","COS","446000","Essence Watercolour Nail Stickers 07","Essence",NA,NA,"1",NA,0.86
"TOI","COS","446001","Essence XXL Nail Thickener","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446002","Essence All In One Complete Care","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446003","Essence Anti Spilt Nail Sealer","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446004","Essence Better Than Gel Nail High Gloss Top Sealer","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446008","Essence Nail Caring Oil","Essence",NA,NA,"1",NA,0.86
"TOI","COS","446011","Essence Nail Reparing Oil","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446012","Essence Pro White Active Nail Brightener","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446014","Essence SOS Power Repair","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446015","Essence Super Rich Super Soft Hand Cream","Essence",NA,NA,"1",NA,0.86
"TOI","COS","446016","Essence Ultra Gloss Nail Shine","Essence",NA,NA,"1",NA,0.81
"TOI","COS","446017","Essence Ultra Strong Nail Hardener","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453531","Essence Volume Stylist 18h Curl and HoldMascara Black","Essence","12ml",NA,"1",NA,0.88
"TOI","COS","453532","Essence Volume Stylist 18hr Lash Extension Mascara","Essence","12ml",NA,"1",NA,0.88
"TOI","COS","453533","Essence Eye and Face Palette Glow For It 01","Essence","8g",NA,"1",NA,0.93
"TOI","COS","453534","Essence Eye and Face Palette Rise and Shine 02","Essence","8g",NA,"1",NA,0.93
"TOI","COS","453535","Essence Shine Shine Shine Lip Gloss 03","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453536","Essence Shine Shine Shine Lip Gloss 08","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453537","Essence Shine Shine Shine Lip Gloss 12","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453538","Essence Luminous Matt Bronzing Powder 01","Essence",NA,NA,NA,NA,1
"TOI","COS","453539","Essence Camouflage Full CoverageConcealer Ivory 05","Essence",NA,NA,NA,NA,0.95
"TOI","COS","453540","Essence Camo Full Coverage Concealer 10","Essence",NA,NA,NA,NA,0.95
"TOI","COS","453541","Essence Instant Matt Setting Spray","Essence",NA,NA,NA,NA,1
"TOI","COS","453542","Essence Colour Boost High Pigment NailPaint Instant Friendship 01","Essence","9ml",NA,"1",NA,0.88
"TOI","COS","453547","Essence Lash Princess Sculpted Volume Mascara","Essence","12ml",NA,"1",NA,0.88
"TOI","COS","453553","Essence My Must Haves Eyeshadow 01","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453555","Essence My Must Haves Eyeshadow 03","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453556","Essence My Must Haves Eyeshadow 04","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453557","Essence My Must Haves Eyeshadow 05","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453558","Essence My Must Haves Eyeshadow 06","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453559","Essence My Must Haves Eyeshadow 07","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453560","Essence My Must Haves Eyeshadow 08","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453561","Essence My Must Haves Eyeshadow 09","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453562","Essence My Must Haves Eyeshadow 10","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453563","Essence My Must Haves Eyeshadow 11","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453565","Essence My Must Haves Eyeshadow 13","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453566","Essence My Must Haves Eyeshadow 14","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453567","Essence My Must Haves Eyeshadow 15","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453569","Essence My Must Haves Eyeshadow 17","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453570","Essence My Must Haves Eyeshadow 18","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453571","Essence My Must Haves Eyeshadow 19","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453572","Essence My Must Haves Eyeshadow 20","Essence","1.7g",NA,"1",NA,0.88
"TOI","COS","453573","Essence My Must Haves Palette 4","Essence","1.7g",NA,"1",NA,0.93
"TOI","COS","453574","Essence My Must Haves Palette 8","Essence","1.7g",NA,"1",NA,0.93
"TOI","COS","453575","Essence Eyeliner Pen Longlasting White 02","Essence","1.6g",NA,"1",NA,0.88
"TOI","COS","453576","Essence Eyeliner Pen Longlasting Brown 03","Essence","1.6g",NA,"1",NA,0.88
"TOI","COS","453577","Essence Shine Shine Shine Lip Gloss 01","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453578","Essence Shine Shine Shine Lip Gloss 02","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453580","Essence Shine Shine Shine Lip Gloss 04","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453581","Essence Shine Shine Shine Lip Gloss 05","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453582","Essence Shine Shine Shine Lip Gloss 06","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453583","Essence Shine Shine Shine Lipgloss 07","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453585","Essence Shine Shine Shine Lip Gloss 09","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453586","Essence Shine Shine Shine Lip Gloss 10","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453587","Essence Shine Shine Shine Lip Gloss 11","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453589","Essence Shine Shine Shine Lip Gloss 13","Essence","5ml",NA,"1",NA,0.88
"TOI","COS","453590","Essence 2in1 Highlight and Contouring Stick 10","Essence",NA,NA,NA,NA,1
"TOI","COS","453591","Essence 2in1 Highlight and Contouring Stick 20","Essence",NA,NA,NA,NA,1
"TOI","COS","453593","Essence Luminous Matt Bronzing PowderSunglow 02","Essence",NA,NA,NA,NA,1
"TOI","COS","453594","Essence Blush Play Sculpt Blush Pallete 10","Essence",NA,NA,NA,NA,1
"TOI","COS","453595","Essence Blush Play Sculpt Blush Pallete 20","Essence",NA,NA,NA,NA,1
"TOI","COS","453598","Essence Cover Stick Matt Naturelle 10","Essence",NA,NA,NA,NA,1
"TOI","COS","453599","Essence Cover Stick Matt Sand 20","Essence",NA,NA,NA,NA,1
"TOI","COS","453600","Essence Cover Stick Matt Honey 30","Essence",NA,NA,NA,NA,1
"TOI","COS","453601","Essence Out of Space Stories Nail Polish 01","Essence","9ml",NA,"1",NA,0.88
"TOI","COS","453602","Essence Out Of Space Stories Nail PolishAcross The Universe 02","Essence","9ml",NA,"1",NA,0.88
"TOI","COS","453603","Essence Out of Space Stories Nail PolishSpace Glam 03","Essence","9ml",NA,"1",NA,0.88
"TOI","COS","453604","Essence Out Of Space Stories Nail PolishBeam Me Up 04","Essence","9ml",NA,"1",NA,0.88
"TOI","COS","453607","Essence Out of Space Stories Nail Polish1000 Light Years Away 07","Essence","9ml",NA,"1",NA,0.88
"TOI","COS","453608","Essence The Gel Nail Polish 88","Essence","8ml",NA,"1",NA,0.88
"TOI","COS","453609","Essence The Gel Nail Polish 89","Essence","8ml",NA,"1",NA,0.88
"TOI","COS","453610","Essence The Gel Nail Polish 90","Essence","8ml",NA,"1",NA,0.88
"TOI","COS","453611","Essence The Gel Nail Polish 91","Essence","8ml",NA,"1",NA,0.88
"TOI","COS","453612","Essence The Gel Nail Polish 92","Essence","8ml",NA,"1",NA,0.88
"TOI","COS","453613","Essence The Gel Nail Polish 96","Essence","8ml",NA,"1",NA,0.88
"TOI","COS","453615","Essence The Gel Nail Polish 98","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453638","Essence The Cushion Eyeliner 01","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453647","Essence My Must Haves Lip Base 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","453648","Essence My Must Haves Lip Powder 02","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453649","Essence My Must Haves Lip Powder 03","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453650","Essence My Must Haves Lip Powder 04","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453651","Essence Instant Matt Make-Up 10","Essence",NA,NA,NA,NA,0.95
"TOI","COS","453652","Essence Instant Matt Make-Up Matt Sand 20","Essence",NA,NA,NA,NA,1
"TOI","COS","453653","Essence Instant Matt Make-Up 30","Essence",NA,NA,NA,NA,0.95
"TOI","COS","453654","Essence My Must Haves Bronzing Powder 01","Essence",NA,NA,NA,NA,1
"TOI","COS","453655","Essence My Must Haves Fixing Powder 01","Essence",NA,NA,NA,NA,1
"TOI","COS","453656","Essence My Must Haves Highlight Powder 01","Essence",NA,NA,NA,NA,1
"TOI","COS","453657","Essence Mosaic Blush 35","Essence",NA,NA,NA,NA,1
"TOI","COS","453658","Essence My Must Haves Matt Blush 01","Essence",NA,NA,NA,NA,1
"TOI","COS","453659","Essence My Must Haves Matt Blush 02","Essence",NA,NA,NA,NA,1
"TOI","COS","453660","Essence My Must Haves Satin Blush 01","Essence",NA,NA,NA,NA,1
"TOI","COS","453661","Essence My Must Haves Satin Blush 02","Essence",NA,NA,NA,NA,1
"TOI","COS","453662","Essence My Must Haves Satin Blush 03","Essence",NA,NA,NA,NA,1
"TOI","COS","453663","Essence Rainbow Glow Highlighter 10","Essence",NA,NA,NA,NA,1
"TOI","COS","453664","Essence Colour Correct Liquid Concealer 10","Essence",NA,NA,NA,NA,0.95
"TOI","COS","453665","Essence Colour Correct Liquid Concealer 20","Essence",NA,NA,NA,NA,0.95
"TOI","COS","453666","Essence Colour Correct Liquid Concealer 30","Essence",NA,NA,NA,NA,0.95
"TOI","COS","453667","Essence Colour Boost High Pigment Nail PaintInstant Love 09","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453669","Essence Colour Boost High Pigment Nail PaintInstant Feeling 07","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453670","Essence Colour Boost High Pigment Nail PaintInstant Passion 09","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453671","Essence Colour Boost High Pigment Nail PaintInstant Adventure 10","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453672","Essence The Gel Nail Polish 100","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453673","Essence The Gel Nail Polish 101","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453674","Essence The Gel Nail Polish 86","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453675","Essence The Gel Nail Polish 93","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453677","Essence The Gel Nail Polish 95","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453678","Essence The Gel Nail Polish 99","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453680","Essence Glamaxy Top Coat 34","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453681","Essence Stand Out 3D Touch Manic Stick 01","Essence",NA,NA,"1",NA,0.86
"TOI","COS","453682","Essence All in One Ridge Filler with Keratin","Essence",NA,NA,"1",NA,0.81
"TOI","COS","453686","Essence SOS Protect & Resist","Essence",NA,NA,"1",NA,0.81
"TOI","CRE","336306","Sally Hansen Maximum Growth","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336307","Sally Hansen Maximum Strengthener","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336309","Sally Hansen Hard As Nails Natural","Sally Hansen","13.3ml","Cream",NA,NA,0.93
"TOI","CRE","336310","Sally Hansen Hard As Nails Wrap","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336311","Sally Hansen Diamond Strength","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336312","Sally Hansen Nail Growth Miracle","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336313","Sally Hansen Double Duty","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336314","Sally Hansen No Chip Top Coat","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336318","Sally Hansen Vitamin E Oil","Sally Hansen","13.3ml",NA,NA,NA,0.86
"TOI","CRE","336658","Sally Hansen Nail Polish Remover Regular","Sally Hansen","200ml",NA,"1",NA,0.93
"TOI","CRE","336659","Sally Hansen Acetone Free Nail Polish Remover","Sally Hansen","200ml",NA,NA,NA,0.86
"TOI","CRE","336660","Sally Hansen Nail Polish Remover Strengthen200ml","Sally Hansen","200ml",NA,"1",NA,0.93
"TOI","CRE","336661","Sally Hansen Nail Polish Remover Moisturising","Sally Hansen","200ml",NA,NA,NA,0.86
"TOI","CRE","351548","Sally Hansen Rehab Strengthen","Sally Hansen",NA,NA,"1",NA,0.86
"TOI","CRE","351550","Sally Hansen Diamond Flash Top Coat","Sally Hansen",NA,NA,"1",NA,0.86
"TOI","CRE","431293","Complete Care 7 in 1 treatment 13.3 ml","Sally Hansen","13.3ml","Clear","1",NA,0.95
"TOI","CRE","445082","Sally Hansen Complete Salon Manicure Clear'd ForTakeoff","Sally Hansen","14.7ml",NA,"1",NA,0.93
