"Article","Web Description","Brand","DQ Score"
"448025","Marbella 3 Drawer Bedside Cabinet White","Other",0.891666666666667
"448038","Cadiz 2 Drawer Bedside Cabinet White","Other",0.891666666666667
"448043","Cadiz 3 Drawer Bedside Cabinet White","Other",0.891666666666667
"448055","Altea 2 Drawer Bedside Cabinet White","Other",0.891666666666667
"448060","Altea 3 Drawer Bedside Cabinet White","Other",0.891666666666667
"448073","Javea 2 Drawer Bedside Cabinet Grey","Other",0.891666666666667
"448078","Javea 3 Drawer Bedside Cabinet Grey","Other",0.891666666666667
"448091","Valencia 2 Drawer Cream Bedside Cabinet","Other",0.891666666666667
"448096","Valencia 3 Drawer Bedside Cream Cabinet","Other",0.891666666666667
"p100156","Havana Bedside Cabinet","Wilko",0.891666666666667
