"Article","Web Description","Brand","Capacity","Type","Pack Qty","Size","DQ Score"
"351581","Wilko Carbonation Drops 160g","Coopers",NA,"Carbonation Drops","1","160g",0.88
"318923","Muntons Spray Malt Medium 500g","Muntons",NA,"Malt","1","500g",0.93
"318924","Muntons Spray Malt Light 500g","Muntons",NA,"Malt","1","500g",0.93
"168394","Wilko Campden Tablets 100pk","Wilko",NA,"Campden Tablets","1","100 Pack",0.93
"191082","Wilko Twin Lever Bottle Capper","Wilko",NA,"Bottle Capper","1","Single",0.93
"22555","Wilko Fermenting Bin and Lid 25L","Wilko",NA,"Fermenter","1","25L",0.93
"22559","Wilko Long Handled Plastic Spoon","Wilko",NA,"Spoons","1",NA,0.86
"22560","Wilko Nylon Bottle Brush 1pk","Wilko",NA,"Brushes","1","35cm",0.93
"22562","Wilko CO2 Charger Capsules 10pk","Wilko",NA,"Citric Acid","1","10 Pack",0.93
"22566","Wilko Beer Bottle Metal Caps 50pk","Wilko",NA,"Bottles","1","50 Pack",0.93
"22573","Wilko Syphon Pack","Wilko",NA,"Siphon Tube","1",NA,0.86
"22574","Wilko Spirit Thermometer 12in","Wilko",NA,"Thermometer","1","12in",0.93
"22575","Wilko Floating Hydrometer for Wine and Beer","Wilko",NA,"Hydrometer","1",NA,0.86
"22576","Wilko Plastic Trial Jar","Wilko",NA,"Jars",NA,"35cm",0.86
"22652","Wilko Citric Acid 50g","Wilko",NA,"Citric Acid","1","50g",0.93
"22653","Wilko Pectolase 17g","Wilko",NA,"Pectolase","1","17g",0.93
"22654","Wilko Yeast Nutrient 50g","Wilko",NA,"Yeast","1","50g",0.93
"22657","Wilko Wine Stabiliser 30g","Wilko",NA,"Stabiliser","1","30g",0.93
"22658","Wilko Cleaner And Steriliser 100g","Wilko",NA,"Steriliser","1","100g",0.93
"240201","Wilko Airlock and Rubber Bung Set 2pk","Wilko",NA,"Airlock","1","2 Pack",0.93
"240202","Wilko Airlock With Rubber Bung 2pk","Wilko",NA,"Airlock","1","2 Pack",0.93
"309419","Wilko Brewing Sugar 1kg","Wilko",NA,"Sugar",NA,"1kg",0.86
"318711","Wilko Plastic Topped Corks","Wilko",NA,"Corks","12pk",NA,0.86
"318922","Wilko Gervin English  Ale Yeast 11g","Wilko",NA,"Yeast",NA,"11g",0.86
"321285","Wilko Straight Wine Bottle Corks 30pk","Wilko",NA,"Corks","1","30 Pack",0.93
"351554","Wine Shrink Capsules 30 pack","Wilko",NA,"Shrink Capsules","1","30 Pack",0.88
"351555","Demijohn Brush","Wilko",NA,"Brushes","1",NA,0.81
"351556","Wilko Express Wine Yeast Compound 50g","Wilko",NA,"Yeast","1","50g",0.93
"351560","Wilko Wine Tannin 50g","Wilko",NA,"Tannin","1","50g",0.93
"351583","Gervin Cider Yeast 5g Sachet","Wilko",NA,"Yeast","1","5g",0.88
"441125","Wilko C02 Bulb Holder 2pk","Wilko",NA,"CO2","2",NA,0.86
"441126","Wilko Stick on Thermometer Strip 2pk","Wilko",NA,"Thermometer","2",NA,0.86
"441127","Wilko Bottling Wand with Tap","Wilko",NA,"Bottling Wand ","1",NA,0.86
"441128","Wilko Replacement Tap and Seal","Wilko",NA,"Tap and Seal","1",NA,0.86
"441129","Wilko Hand Corker","Wilko",NA,"Corks","1",NA,0.86
"75914","Wilko Wine Bottles Green  6pk","Wilko",NA,"Bottles","6pk","750ml",0.93
