"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"273568","Wilko Matt Emulsion PaintPearl Grey 2.5L","Wilko","Matt Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"273569","Wilko Matt Emulsion PaintCandy Cane 2.5L","Wilko","Matt Paint","30m²","Pink",NA,"2.5L",0.941666666666667
"273573","Wilko Matt Emulsion PaintDuck Egg 2.5L","Wilko","Matt Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"273576","Wilko Silk Emulsion PaintIvory Tusk 2.5L","Wilko","Silk Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"273578","Wilko Silk Emulsion PaintPearl Grey 2.5L","Wilko","Silk Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"273579","Wilko Silk Emulsion PaintCandy Cane 2.5L","Wilko","Silk Paint","30m²","Pink",NA,"2.5L",0.941666666666667
"273583","Wilko Silk Emulsion PaintDuck Egg 2.5L","Wilko","Silk Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"273588","Wilko One Coat Matt Emulsion PaintPearl Grey 2.5L","Wilko","One Coat Matt Paint","20m²","Grey",NA,"2.5L",0.941666666666667
"273593","Wilko One Coat Matt Emulsion PaintDuck Egg 2.5L","Wilko","One Coat Matt Paint","20m²","Blue",NA,"2.5L",0.941666666666667
"273596","Wilko Emulsion Paint Tester Pot Ivory Tusk 75ml","Wilko","Paint Tester Pot","30cm²","Cream",NA,"75ml",0.941666666666667
"273598","Wilko Emulsion Paint Tester Pot Pearl Grey 75ml","Wilko","Paint Tester Pot","30cm²","Grey",NA,"75ml",0.941666666666667
"273639","Wilko Bathroom Mid Sheen Emulsion PaintPearl Grey 2.5L","Wilko","Bathroom Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"274652","Wilko Durable Matt Emulsion PaintMoody Blue 2.5L","Wilko","Durable Matt Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"274654","Wilko Durable Matt Emulsion PaintSugar Sweet 2.5L","Wilko","Durable Matt Paint","30m²","Pink",NA,"2.5L",0.941666666666667
"274656","Wilko Durable Matt Emulsion PaintHappy Yellow 2.5L","Wilko","Durable Matt Paint","30m²","Yellow",NA,"2.5L",0.941666666666667
"274660","Wilko Durable Matt Emulsion PaintIvory Tusk 2.5L","Wilko","Durable Matt Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"274672","Wilko Durable Matt Emulsion PaintMidnight Hour 2.5L","Wilko","Durable Matt Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"274728","Wilko Emulsion Paint Tester Pot Lime Sorbet 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"283243","Wilko Matt Emulsion PaintNatural Twine 2.5L","Wilko","Matt Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"283251","Wilko Silk Emulsion PaintLime Sorbet 2.5L","Wilko","Silk Paint","30m²","Green",NA,"2.5L",0.941666666666667
"283252","Wilko Silk Emulsion PaintNatural Twine 2.5L","Wilko","Silk Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"283259","Wilko Bathroom Mid Sheen Emulsion PaintSummer Tide 2.5L","Wilko","Bathroom Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"283260","Wilko Matt Emulsion PaintBiscuit Crunch 2.5L","Wilko","Kitchen Paint","30m²","Brown",NA,"2.5L",0.941666666666667
"283264","Wilko Durable Matt Emulsion PaintPearl Grey 2.5L","Wilko","Durable Matt Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"283285","Wilko Statement Matt Emulsion PaintFlintstone 1.25L","Wilko","Feature Wall Paint",NA,"Cream",NA,"1.25L",0.883333333333333
"283286","Wilko Statement Matt Emulsion PaintJava Bean 1.25L","Wilko","Feature Wall Paint",NA,"Brown",NA,"1.25L",0.883333333333333
"283288","Wilko Statement Matt Emulsion PaintRuby Ring 1.25L","Wilko","Feature Wall Paint",NA,"Red","1","1.25L",0.941666666666667
"283291","Wilko Durable Matt Emulsion PaintBig Apple 2.5L","Wilko","Durable Matt Paint",NA,"Green","1","2.5L",0.941666666666667
"283297","Wilko Durable Matt Emulsion PaintJelly Bean 2.5L","Wilko","Durable Matt Paint",NA,"Orange","1","2.5L",0.941666666666667
"283299","Wilko Durable Matt Emulsion PaintMinted 2.5L","Wilko","Durable Matt Paint",NA,"Green",NA,"2.5L",0.883333333333333
"283302","Wilko Durable Matt Emulsion PaintPurple Haze 2.5L","Wilko","Durable Matt Paint",NA,"Purple","1","2.5L",0.941666666666667
"283303","Wilko Durable Matt Emulsion PaintSupernova 2.5L","Wilko","Durable Matt Paint",NA,"Black",NA,"2.5L",0.883333333333333
"283304","Wilko Durable Matt Emulsion PaintTouch of Silver 2.5L","Wilko","Durable Matt Paint",NA,"Silver",NA,"2.5L",0.883333333333333
"283308","Wilko Emulsion Paint Tester Pot Flintstone 75ml","Wilko","Paint Tester Pot","30cm²","Cream",NA,"75ml",0.941666666666667
"283311","Wilko Emulsion Paint Tester Pot Ruby Ring 75ml","Wilko","Paint Tester Pot","30cm²","Red",NA,"75ml",0.941666666666667
"283320","Wilko Emulsion Paint Tester Pot Jelly Bean 75ml","Wilko","Paint Tester Pot","30cm²","Orange",NA,"75ml",0.941666666666667
"283321","Wilko Emulsion Paint Tester Pot Minted 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"283324","Wilko Emulsion Paint Tester Pot Supernova 75ml","Wilko","Paint Tester Pot","30cm²","Black",NA,"75ml",0.941666666666667
"283325","Wilko Emulsion Paint Tester Pot Touch of Silver75ml","Wilko","Paint Tester Pot","30cm²","Silver",NA,"75ml",0.941666666666667
"283336","Wilko Emulsion Paint Tester Pot Summer Tide 75ml","Wilko","Paint Tester Pot","30cm²","Blue",NA,"75ml",0.941666666666667
"287951","Wilko Tester Brush","Wilko","Paint Tester Brush",NA,"Black","1","Small",0.941666666666667
"297371","Wilko Emulsion Paint Tester Pot Bermuda 75ml","Wilko","Paint Tester Pot","30cm²","Blue",NA,"75ml",0.941666666666667
"297375","Wilko Emulsion Paint Tester Pot Frutti 75ml","Wilko","Paint Tester Pot","30cm²","Orange",NA,"75ml",0.941666666666667
"297378","Wilko Kitchen Matt Emulsion PaintDuck Egg 2.5L","Wilko","Kitchen Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"297386","Wilko Durable Matt Emulsion PaintNatural Twine 2.5L","Wilko","Durable Matt Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"297392","Wilko One Coat Matt Emulsion PaintNatural Twine 2.5L","Wilko","One Coat Matt Paint","20m²","Grey",NA,"2.5L",0.941666666666667
"297393","Wilko One Coat Matt Emulsion PaintOn Deck 2.5L","Wilko","One Coat Matt Paint","20m²","Brown",NA,"2.5L",0.941666666666667
"297396","Wilko Matt Emulsion PaintCosy Grey 2.5L","Wilko","Matt Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"297427","Wilko Matt Emulsion PaintPearl Grey 5L","Wilko","Matt Paint","60m²","Grey",NA,"5L",0.941666666666667
"297428","Wilko Silk Emulsion PaintPearl Grey 5L","Wilko","Silk Paint","60m²","Grey",NA,"5L",0.941666666666667
"297431","Wilko Silk Emulsion PaintCosy Grey 2.5L","Wilko","Silk Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"297434","Wilko Statement Matt Emulsion PaintDeeply Plum 1.25L","Wilko","Feature Wall Paint",NA,"Purple",NA,"1.25L",0.883333333333333
"297435","Wilko Durable Matt Emulsion PaintElectric 2.5L","Wilko","Durable Matt Paint",NA,"Blue",NA,"2.5L",0.883333333333333
"297436","Wilko Durable Matt Emulsion PaintBermuda 2.5L","Wilko","Durable Matt Paint",NA,"Blue",NA,"2.5L",0.883333333333333
"297437","Wilko Durable Matt Emulsion PaintTropics 2.5L","Wilko","Durable Matt Paint",NA,"Green","1","2.5L",0.941666666666667
"309365","Wilko Bathroom Mid Sheen Emulsion PaintMineral Stone 2.5L","Wilko","Bathroom Paint","30m²","Green",NA,"2.5L",0.941666666666667
"309366","Wilko Kitchen Matt Emulsion PaintTinsel Town 2.5L","Wilko","Kitchen Paint","30m²","Red",NA,"2.5L",0.941666666666667
"309368","Wilko Durable Matt Emulsion PaintSweetie 2.5L","Wilko","Durable Matt Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"309370","Wilko Durable Matt Emulsion PaintTinsel Town 2.5L","Wilko","Durable Matt Paint","30m²","Red",NA,"2.5L",0.941666666666667
"309371","Wilko Durable Matt Emulsion PaintMineral Stone 2.5L","Wilko","Durable Matt Paint","30m²","Green",NA,"2.5L",0.941666666666667
"309372","Wilko One Coat Matt Emulsion PaintCosy Grey 2.5L","Wilko","One Coat Matt Paint","20m²","Grey",NA,"2.5L",0.941666666666667
"309374","Wilko Durable Matt Emulsion PaintBumble Bee 2.5L","Wilko","Durable Matt Paint",NA,"Yellow",NA,"2.5L",0.883333333333333
"309375","Wilko Durable Matt Emulsion PaintWizard 2.5L","Wilko","Durable Matt Paint",NA,"Purple","1","2.5L",0.941666666666667
"310634","Wilko Durable Matt Emulsion PaintHot Gossip 2.5L","Wilko","Durable Matt Paint",NA,"Pink","1","2.5L",0.941666666666667
"310635","Wilko Statement Matt Emulsion PaintUrban Jungle 1.25L","Wilko","Feature Wall Paint",NA,"Green",NA,"1.25L",0.883333333333333
"310636","Wilko Statement Matt Emulsion PaintVamp 1.25L","Wilko","Feature Wall Paint",NA,"Pink","1","1.25L",0.941666666666667
"310640","Wilko Matt Emulsion PaintNeptune 2.5L","Wilko","Matt Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"310643","Wilko Matt Emulsion PaintStardust 2.5L","Wilko","Matt Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"310644","Wilko Matt Emulsion PaintIvory Tusk 5L","Wilko","Matt Paint","60m²","Cream",NA,"5L",0.941666666666667
"310647","Wilko Silk Emulsion PaintNeptune 2.5L","Wilko","Silk Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"310651","Wilko Silk Emulsion PaintIvory Tusk 5L","Wilko","Silk Paint","60m²","Grey",NA,"5L",0.941666666666667
"310653","Wilko Emulsion Paint Tester Pot Urban Jungle 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"310654","Wilko Emulsion Paint Tester Pot Limeade 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"310655","Wilko Emulsion Paint Tester Pot Organic Green 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"310659","Wilko Emulsion Paint Tester Pot Hot Gossip 75ml","Wilko","Paint Tester Pot","30cm²","Pink",NA,"75ml",0.941666666666667
"310784","Wilko Emulsion Paint Tester Pot Wizard 75ml","Wilko","Paint Tester Pot","30cm²","Purple",NA,"75ml",0.941666666666667
"333760","Wilko Kitchen Matt Emulsion PaintNatural Twine 2.5L","Wilko","Kitchen Paint","30m²","Grey",NA,"2.5L",0.941666666666667
"333763","Wilko Matt Emulsion PaintSoft Hessian 2.5L","Wilko","Matt Paint","30m²","Cream",NA,"2.5L",0.941666666666667
"334368","Wilko Durable Matt Emulsion PaintElf 2.5L","Wilko","Durable Matt Paint",NA,"Green",NA,"2.5L",0.883333333333333
"334369","Wilko Durable Matt Emulsion PaintSonic 2.5L","Wilko","Durable Matt Paint",NA,"Red",NA,"2.5L",0.883333333333333
"334371","Wilko Statement Matt Emulsion PaintOcean Jewel 1.25L","Wilko","Feature Wall Paint",NA,"Blue","1","1.25L",0.941666666666667
"334372","Wilko Statement Matt Emulsion PaintRetro Ochre 1.25L","Wilko","Feature Wall Paint",NA,"Green","1","1.25L",0.941666666666667
"334373","Wilko Statement Matt Emulsion PaintAfter Hours 1.25L","Wilko","Feature Wall Paint",NA,"Red","1","1.25L",0.941666666666667
"334375","Wilko Matt Emulsion PaintDark Duck Egg 2.5L","Wilko","Matt Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"334381","Wilko Emulsion Paint Tester Pot Soft Hessian 75ml","Wilko","Paint Tester Pot","30cm²","Cream",NA,"75ml",0.941666666666667
"334384","Wilko Emulsion Paint Tester Pot Dark Duck Egg 75ml","Wilko","Paint Tester Pot","30cm²","Blue",NA,"75ml",0.941666666666667
"334388","Wilko Emulsion Paint Tester Pot Retro Ochre 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"334392","Wilko Emulsion Paint Tester Pot Elf 75ml","Wilko","Paint Tester Pot","30cm²","Green",NA,"75ml",0.941666666666667
"341327","Wilko Matt Emulsion PaintPlum Berry 2.5L","Wilko","Matt Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"341815","Wilko Silk Emulsion PaintPlum Berry 2.5L","Wilko","Silk Paint","30m²","Purple",NA,"2.5L",0.941666666666667
"341832","Wilko Kitchen Matt Emulsion PaintSunshine Yellow 2.5L","Wilko","Kitchen Paint","30m²","Yellow",NA,"2.5L",0.941666666666667
"341833","Wilko Bathroom Mid Sheen Emulsion PaintNeptune 2.5L","Wilko","Bathroom Paint","30m²","Blue",NA,"2.5L",0.941666666666667
"341847","Wilko Statement Matt Emulsion PaintBarely Black 1.25L","Wilko","Feature Wall Paint",NA,"Black","1","1.25L",0.941666666666667
"341848","Wilko Durable Matt Emulsion PaintLimeade 2.5L","Wilko","Durable Matt Paint",NA,"Green","1","2.5L",0.941666666666667
"341849","Wilko Emulsion Paint Tester Pot Plum Berry 75ml","Wilko","Paint Tester Pot","30cm²","Purple",NA,"75ml",0.941666666666667
"341851","Wilko Emulsion Paint Tester Pot Barely Black 75ml","Wilko","Paint Tester Pot","30cm²","Black",NA,"75ml",0.941666666666667
