"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"PAI","CRO","341824","Crown Metallic Emulsion PaintSophistication 1.25L","Crown","15.1CM","11.6CM","11.6CM","Metallic Paint","1.25L","Silver","1",NA,NA,NA,NA,NA,"15 Square Metres",NA,NA,1
"PAI","CRO","434504","Crown Silk Emulsion PaintAntique Cream 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Cream","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,0.95
"PAI","CRO","434505","Crown Silk Emulsion PaintBeige White 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Cream","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434507","Crown Silk Emulsion PaintBrandy Snap 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Cream","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434508","Crown Silk Emulsion PaintCanvas White 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","White","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434509","Crown Silk Emulsion PaintChance 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Blue","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434510","Crown Silk Emulsion PaintChoc Chip 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Brown","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434511","Crown Silk Emulsion PaintCity Break 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Grey","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434512","Crown Silk Emulsion PaintClay White 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","White","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434513","Crown Silk Emulsion PaintCloud Burst 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Grey","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434515","Crown Silk Emulsion PaintCream White 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Cream","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434519","Crown Silk Emulsion PaintDelicate Cream 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Cream","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434520","Crown Silk Emulsion PaintDream White 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","White","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434521","Crown Silk Emulsion PaintDuck Egg 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Blue","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434522","Crown Silk Emulsion PaintEnglish Fire 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Red","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434524","Crown Silk Emulsion PaintFairy Dust 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Pink","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434525","Crown Silk Emulsion PaintForgotten Paradise 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Cream","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434526","Crown Silk Emulsion PaintGentle Olive 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Green","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434527","Crown Silk Emulsion PaintGranite Dust 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Grey","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434528","Crown Silk Emulsion PaintGrey Putty 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Grey","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
"PAI","CRO","434529","Crown Silk Emulsion PaintHappy Daze 2.5L","Crown","16.2CM","15.8CM","15.8CM","Silk Paint","2.5L","Yellow","1",NA,NA,NA,NA,NA,"35 Square metres",NA,NA,1
