"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"sg00001","3 Tier Bolted Shelving Black","Storage Solutions","3 Tier Shelving","Black","1",NA,"Steel",0.841666666666667
"sg00002","4 Tier Bolted Shelving Black","Storage Solutions","4 Tier Shelving","Black","1",NA,"Steel",0.841666666666667
"sg00003","5 Tier Bolted Shelving Black","Storage Solutions","5 Tier Shelving","Black","1",NA,"Steel",0.891666666666667
"sg00005","4 Tier Bolted Shelving Silver","Storage Solutions","4 Tier Shelving","Silver","1",NA,"Steel",0.891666666666667
"sg00007","5 Tier Bolted Shelving Grey Medium Duty","Storage Solutions","5 Tier Shelving","Grey","1",NA,"Steel",0.891666666666667
"sg00008","3 Tier Boltless Shelving Stainless Steel Black","Storage Solutions","3 Tier Shelving","Black","1",NA,"Steel",0.891666666666667
"sg00009","4 Tier Boltless Shelving Stainless Steel Black","Storage Solutions","4 Tier Shelving","Black","1",NA,"Steel",0.891666666666667
"sg00010","5 Tier Boltless Shelving Stainless Steel Black","Storage Solutions","5 Tier Shelving","Black","1",NA,"Steel",0.891666666666667
"sg00016","Shelf Kit With 3 Metal Shelves 1000x220mm","Storage Solutions","Shelving Kits","White","1",NA,"Steel",0.891666666666667
"sg00017","Shelf Kit With 3 Metal Shelves 1000x270mm","Storage Solutions","Shelving Kits","White","1",NA,"Steel",0.891666666666667
