"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"426782","Wilko Duvet Set Double London Skyline Grey","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426783","Wilko Duvet Set King London Skyline King","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426789","Wilko Duvet Set Double Sequin Border Grey","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426790","Wilko Duvet Set King Sequin Border Grey","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426791","Wilko Duvet Set Double Jacquard Black","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426792","Wilko Duvet Set King Jacquard Black","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426794","Wilko Duvet Set King Lace Border White","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426798","Wilko Duvet Set Single Reversible Latte and Cream","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426799","Wilko Duvet Set Double Reversible Latte and Cream","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426800","Wilko Duvet Set King Reversible Latte and Cream","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426801","Wilko Duvet Set Single Floral Latte","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426802","Wilko Duvet Set Double Floral Latte","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426803","Wilko Duvet Set King Floral Latte","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426804","Wilko Duvet Set Single Geometrics Green","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426805","Wilko Duvet Set Double Geometrics Green","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426806","Wilko Duvet Set King Geometrics Green","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426811","Wilko Duvet Set Double Seersucker Latte","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426812","Wilko Duvet Set King Seersucker Latte","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426825","Wilko Duvet Set Single Reversible Red and Cream","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426826","Wilko Duvet Set Double Reversible Red and Cream","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426827","Wilko Duvet Set King Reversible Red and Cream","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426828","Wilko Duvet Set Single Checked Design Red","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426829","Wilko Duvet Set Double Checked Design Red","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426830","Wilko Duvet Set King Checked Design Red","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426831","Wilko Duvet Set Single Floral Red","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426832","Wilko Duvet Set Double Floral Red","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426833","Wilko Duvet Set King Floral Red","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426834","Wilko Duvet Set Single Sahara Red","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426835","Wilko Duvet Set Double Sahara Red","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426836","Wilko Duvet Set King Sahara Red","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426845","Wilko Duvet Set King Jacquard Red","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426849","Wilko Duvet Set Single Reversible Chocolate andCream","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426850","Wilko Duvet Set Double Reversible Chocolate andCream","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426851","Wilko Duvet Set King Reversible Chocolate andCream","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426855","Wilko Duvet Set Single Leaf Design Natural","Wilko","Single Duvet Cover",NA,NA,NA,NA,NA,0.75
"426856","Wilko Duvet Set Double Leaf Design Natural","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"426857","Wilko Duvet Set King Leaf Design Natural","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426861","Wilko Duvet Set King Sequin Border Champagne","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426862","Wilko Duvet Set Double Jaquard Cream","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"426863","Wilko Duvet Set King Jaquard Cream","Wilko","King Size Duvet Cover",NA,NA,NA,NA,NA,0.75
"426864","Wilko Duvet Set Double Lace Border Cream","Wilko","Double Duvet Cover",NA,NA,NA,NA,NA,0.75
"436978","Wilko Duvet Set Single Fifties Floral Green","Wilko","Single Duvet Cover",NA,"1",NA,NA,NA,0.8
"436979","Wilko Duvet Set Double Fifties Floral Green","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"436980","Wilko Duvet Set King Fifties Floral Green","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"436981","Wilko Duvet Set Single Knitted Print Natural","Wilko","Single Duvet Cover",NA,"1",NA,"Single",NA,0.85
"436982","Wilko Duvet Set Double Knitted Print Natural","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"436983","Wilko Duvet Set King Knitted Print Natural","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"436984","Wilko Duvet Set Single Semi Circle Design Blue","Wilko","Single Duvet Cover",NA,"1","Washable","Single","Polyester cotton",0.95
"436985","Wilko Duvet Set Double Semi Circle Design Blue","Wilko","Double Duvet Cover",NA,"1","Washable","Double","Polyester cotton",0.95
"436986","Wilko Duvet Set King Semi Circle Design Blue","Wilko","King Size Duvet Cover",NA,"1","Washable","King","Polyester cotton",0.95
"436987","Wilko Duvet Set Single Ikat Spots Red","Wilko","Single Duvet Cover",NA,"1",NA,"Single",NA,0.85
"436988","Wilko Duvet Set Double Ikat Spots Red","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"436989","Wilko Duvet Set King Ikat Spots Red","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"436990","Wilko Duvet Set Single Floral Folk Red","Wilko","Single Duvet Cover",NA,"1",NA,NA,NA,0.8
"436991","Wilko Duvet Set Double Floral Folk Red","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"436992","Wilko Duvet Set King Floral Folk Red","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"436993","Wilko Duvet Set Single Sanctuary Design Grey","Wilko","Single Duvet Cover",NA,"1",NA,"Single",NA,0.85
"436994","Wilko Duvet Set Double Sanctuary Design Grey","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"436995","Wilko Duvet Set King Sanctuary Design Grey","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"436996","Wilko Duvet Set Single Leopard Print Natural","Wilko","Single Duvet Cover",NA,"1",NA,NA,NA,0.8
"436998","Wilko Duvet Set King Leopard Print Natural","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"436999","Wilko Duvet Single Leopard Print Purple","Wilko","Single Duvet Cover",NA,"1",NA,NA,NA,0.8
"437000","Wilko Duvet Double Leopard Print Purple","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"437001","Wilko Duvet King Leopard Print Purple","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"437002","Wilko Duvet Single Hearts Purple","Wilko","Single Duvet Cover",NA,"1",NA,NA,NA,0.8
"437003","Wilko Duvet Double Hearts Purple","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"437004","Wilko Duvet King Hearts Purple","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"437005","Wilko Duvet Single Watercolour","Wilko","Single Duvet Cover",NA,"1",NA,NA,NA,0.8
"437006","Wilko Duvet Double Watercolour","Wilko","Double Duvet Cover",NA,"1",NA,NA,NA,0.8
"437007","Wilko Duvet King Watercolour","Wilko","King Size Duvet Cover",NA,"1",NA,NA,NA,0.8
"454958","Wilko Pintuck White Double Duvet Set","Wilko","Double Duvet Cover",NA,"1","Wash at 40","Duvet set = 200x200 cm","52:48 Polycotton",0.95
"454959","Wilko Pintuck White King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454960","Wilko Pintuck Cream Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454961","Wilko Pintuck Cream King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454962","Wilko Pintuck Duck Egg Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cmc","52:48 Polycotton",0.9
"454963","Wilko Pintuck Duck Egg Duvet Set King Size","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454964","Wilko Pintuck Taupe Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454965","Wilko Pintuck Taupe King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454966","Wilko Geometric Print Grey Single Duvet Set","Wilko","Single Duvet Cover",NA,"1",NA,"Duvet set = 135x200 cm","52:48 Polycotton",0.9
"454967","Wilko Geometric Print Grey Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454968","Wilko Geometric Print Grey King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454969","Wilko Paisley Print Grey Single Duvet Set","Wilko","Single Duvet Cover",NA,"1",NA,"Duvet set = 135x200 cm","52:48 Polycotton",0.9
"454970","Wilko Paisley Print Grey Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454971","Wilko Paisley Print Grey King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454972","Wilko Blue Spot Single Duvet Set","Wilko","Single Duvet Cover",NA,"1",NA,"Duvet set = 135x200 cm","52:48 Polycotton",0.9
"454973","Wilko Blue Spot Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454974","Wilko Blue Spot King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454975","Wilko Red Spot Single Duvet Set","Wilko","Single Duvet Cover",NA,"1",NA,"Duvet set = 135x200 cm","52:48 Polycotton",0.9
"454976","Wilko Red Spot Duvet Set Double","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454977","Wilko Red Spot King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454978","Wilko Grey Spot Duvet Set Single","Wilko","Single Duvet Cover",NA,"1",NA,"Duvet set = 135x200 cm","52:48 Polycotton",0.9
"454979","Wilko Grey Spot Duvet Set Double","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454980","Wilko Grey Spot Duvet Set King","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454981","Wilko Duvet Set Double Seersucker Stripe Natural","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454982","Wilko Seersucker Stripe Duvet Natural King","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454983","Wilko Tropical Seersucker Duvet Double","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454984","Wilko Tropical Seersucker King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454985","Wilko Check Print Natural Single Duvet Set","Wilko","Single Duvet Cover",NA,"1",NA,"Duvet set = 135x200 cm","52:48 Polycotton",0.9
"454986","Wilko Check Print Natural Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454987","Wilko Check Print Natural King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454988","Wilko Paisley Print Pink Single Duvet Set","Wilko","Single Duvet Cover",NA,"1",NA,"Duvet set = 135x200 cm","52:48 Polycotton",0.9
"454989","Wilko Paisley Print Pink Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454990","Wilko Paisley Print Pink King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454991","Wilko Nautical Stripe Seersucker Double Duvet Set","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454992","Wilko Nautical Stripe Seersucker King Duvet Set","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454993","Wilko Waffle Duvet Set Silver Double","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454994","Wilko Waffle Duvet Set Silver King","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454995","Wilko Square Pinch Pleat Duvet White Double","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454996","Wilko Square Pinch Pleat Duvet White King","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"454997","Wilko Square Pinch Pleat Duvet Cream Double","Wilko","Double Duvet Cover",NA,"1",NA,"Duvet set = 200x200 cm","52:48 Polycotton",0.9
"454998","Wilko Square Pinch Pleat Duvet Cream King","Wilko","King Size Duvet Cover",NA,"1",NA,"Duvet set = 230x220 cm","52:48 Polycotton",0.9
"455212","Wilko Cotton 180 Thread Count Duck Egg/White Duvet","Wilko","Double Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 200cm x 200cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"455213","Wilko Cotton 180 Thread Count Duck Egg/White DuvetKing","Wilko","King Size Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 230cm x 230cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"455214","Wilko Cotton 180 Thread Count Taupe/White DuvetDouble","Wilko","Double Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 200cm x 200cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"455215","Wilko Cotton 180 Thread Count Taupe/White DuvetKing","Wilko","King Size Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 230cm x 230cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"455216","Wilko Cotton 180 Thread Count Cream/Taupe DuvetDouble","Wilko","Double Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 200cm x 200cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"455217","Wilko Cotton 180 Thread Count Cream/Taupe DuvetKing","Wilko","King Size Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 230cm x 230cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"455218","Wilko Cotton 180 Thread Count Grey/White DuvetDouble","Wilko","Double Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 200cm x 200cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"455219","Wilko Cotton 180 Thread Count Grey/White DuvetKing","Wilko","King Size Duvet Cover",NA,"1","Wash at 40","Duvet Cover: 230cm x 230cm Pillow x2 50cm x 75cm","100% Cotton",0.95
"322787","Wilko Best Duvet Set King Sateen Stripe White","Wilko Best","King Size Duvet Cover",NA,NA,"Washable","Kingsize","100% Cotton",0.9
"322788","Wilko Best Duvet Set Super King Size White Stripe","Wilko Best","Superking Size Duvet Cover",NA,NA,"Washable","Super Kingsize","100% Cotton",0.9
"326837","Wilko Best Stripe Duvet Set Super King SateenCream Stripe","Wilko Best","Superking Size Duvet Cover","Cream",NA,"Washable","Super Kingsize","100% Cotton",0.95
"326838","Wilko Best Duvet Set King Sateen Stripe Cream","Wilko Best","King Size Duvet Cover","Cream",NA,"Washable","Kingsize","100% Cotton",0.95
